Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
KYCG.MM285.TFBSconsensus.20220116,"KYCG categorical database holding CpGs associated with consensus TFBS from Cistrome/ENCODE, n_min is an attribute",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,16-Jan-2022,Mus musculus,10090,TRUE,mouseENCODE,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.MM285.TFBSconsensus.20220116.rda,NA,NA
KYCG.MM285.tissueSignature.20211211,KYCG categorical database holding MM285 probes associated with tissue-specific methylation,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,11-Dec-2021,Mus musculus,10090,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.MM285.tissueSignature.20211211.rda,NA,NA
leukocyte.betas,"Reference methylation status in beta values, including $EPIC (matrix), $HM450 (matrix), $HM27 (matrix)",3.12,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145254,15-Mar-2018,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/leukocyte.betas.rda,NA,NA
Mammal320.address,"Mammal320 array probe addresses, $ordering and $controls",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,20-Dec-2021,Mus musculus,10090,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/Mammal320.address.rda,NA,NA
Mammal40.1.SigDF,HorvathMammalMethylChip40 array one SigDF data,3.14,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4997388,4-Jun-2021,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,SigDF,Rda,sesameData/v1.11.7/Mammal40.1.SigDF.rda,NA,NA
Mammal40.address,"HorvathMammalMethylChip40 array probe addresses, $ordering, $controls",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,23-Jan-2022,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/Mammal40.address.rda,NA,NA
Mammal40.addressSpecies,"HorvathMammalMethylChip40 array probe addresses, $ordering, $controls, and $species, species-specific",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,17-Jan-2022,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/Mammal40.addressSpecies.rda,NA,NA
Mammal40.publicQC,Quality control statistics for public Mammal40 array data,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Jan-2022,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,data.frame,Rda,sesameData/v1.13.1/Mammal40.publicQC.rda,NA,NA
MM285.1.SigDF,"MM285 one SigDF from a frontal lobe mouse tissue sample for testing purpose, 204875570034_R04C02",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,22-Jan-2022,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SigDF,Rda,sesameData/v1.13.1/MM285.1.SigDF.rda,NA,NA
MM285.10.SE.tissue,MM285 10 tissue example data summarized experiment,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,23-Apr-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.11.7/MM285.10.SE.tissue.rda,NA,NA
MM285.211.SE.strainSNP,MM285 211 experiment for strain SNPs,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,26-Jul-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.11.7/MM285.211.SE.strainSNP.rda,NA,NA
MM285.467.SE.tissue20Kprobes,"MM285 247 samples, 20K probes summarized experiment data for differential methylation testing",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,10-Jun-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.11.7/MM285.467.SE.tissue20Kprobes.rda,NA,NA
MM285.address,"MM285 array probe addresses, $ordering and $controls",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,20-Dec-2021,Mus musculus,10090,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/MM285.address.rda,NA,NA
MM285.addressSpecies,"MM285 array probe addresses, $ordering,  $controls and $species, species-specific",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,17-Jan-2022,Mus musculus,10090,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/MM285.addressSpecies.rda,NA,NA
MM285.addressStrain,"MM285 array probe addresses, $ordering,  $strain_snps and $strain",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,21-Jan-2022,Mus musculus,10090,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/MM285.addressStrain.rda,NA,NA
MM285.bloodSignature,MM285 blood signature summarized experiment,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,1-Apr-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.9.1/MM285.bloodSignature.rda,NA,NA
MM285.clock347,"MM285 epigenetic clock that predicts mouse age in month, $intercept, and $slope, 347 probes",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,28-Mar-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/MM285.clock347.rda,NA,NA
MM285.inferences,"MM285 inference models, for sex, strain, etc",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,16-Jul-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/MM285.inferences.rda,NA,NA
MM285.probeInfo,"Basic information about probe design on MM285 platform, including $mapped.probes.mm10",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,5-Mar-2021,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/MM285.probeInfo.rda,NA,NA
MM285.publicQC,Quality control statistics for public MM285 array data,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Jan-2022,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,data.frame,Rda,sesameData/v1.13.1/MM285.publicQC.rda,NA,NA
MM285.strain.snp.table,MM285 strain-specific SNP table,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,28-Mar-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,matrix,Rda,sesameData/v1.9.1/MM285.strain.snp.table.rda,NA,NA
MM285.tissueSignature,MM285 138 sample summarized experiment for tissue signature,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,11-Dec-2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.13.1/MM285.tissueSignature.rda,NA,NA
ref.methylation,"Reference methylation status in binary, including cellref.CD14Monocytes, cellref.CD19B, cellref.CD4T, cellref.CD56NK, cellref.CD8T, cellref.buccal, cellref.eosinophil, cellref.granulocytes, cellref.hair, cellref.liver, cellref.muscle, cellref.neutrophil, cellref.omentum, cellref.saliva, cellref.scFat, cellref.skin, cellref.spleen. Each is a numeric (betas).",3.12,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35069,15-Mar-2018,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/ref.methylation.rda,NA,NA
sex.inference,Sex inference model,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,15-Mar-2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,randomForest,Rda,sesameData/v1.7.2/sex.inference.rda,NA,NA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
